Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
22-Aug-20,"11,585.48","11,689.41","11,448.81","11,681.83","20,224,191,306","215,742,068,895",389.03,396.47,382.81,395.84,"10,131,847,985","44,448,918,222"
21-Aug-20,"11,878.03","11,899.26","11,564.98","11,592.49","23,762,425,999","214,082,401,861",416.15,418.64,387.44,389.13,"11,781,796,374","43,690,315,907"
20-Aug-20,"11,761.50","11,900.41","11,710.06","11,878.37","20,175,242,945","219,350,310,326",406.76,418.73,404.03,416.44,"10,043,032,427","46,751,356,941"
19-Aug-20,"11,990.88","12,028.92","11,687.33","11,758.28","24,502,851,117","217,122,068,305",423.74,427.02,396.68,406.46,"13,137,391,167","45,625,864,918"
18-Aug-20,"12,251.90","12,335.71","11,954.53","11,991.23","26,043,227,672","221,413,097,553",429.67,432.58,419.67,423.67,"11,978,984,079","47,551,407,033"
17-Aug-20,"11,895.66","12,359.06","11,806.70","12,254.40","28,227,687,027","226,261,747,567",433.97,442.73,422.65,429.53,"13,227,089,410","48,203,426,751"
16-Aug-20,"11,866.69","11,934.90","11,737.19","11,892.80","20,583,375,490","219,576,092,170",433.35,436.27,415.09,433.79,"12,168,816,874","48,675,162,267"
15-Aug-20,"11,768.70","11,963.20","11,768.70","11,865.70","23,354,924,400","219,064,372,745",437.56,441.75,429.87,433.35,"12,416,067,894","48,620,820,125"
14-Aug-20,"11,772.66","12,150.99","11,685.46","11,768.87","24,237,958,589","217,265,120,503",428.68,444.58,423.35,437.4,"15,064,589,987","49,068,474,083"
13-Aug-20,"11,588.41","11,796.40","11,216.87","11,784.14","27,522,199,497","217,534,728,413",390.84,432.9,379.71,428.74,"18,480,303,526","48,091,569,052"
12-Aug-20,"11,404.60","11,748.40","11,249.61","11,584.93","25,064,548,486","213,846,666,475",380.06,391.31,367.92,391.02,"12,408,772,745","43,855,501,072"
11-Aug-20,"11,881.65","11,932.71","11,195.71","11,410.53","27,039,782,640","210,616,121,945",395.89,398.48,370.86,380.38,"12,792,218,737","42,656,945,169"
10-Aug-20,"11,662.26","12,045.14","11,662.26","11,878.11","26,114,112,569","219,235,405,395",391.04,399.38,391.04,395.89,"11,685,827,893","44,390,142,137"
9-Aug-20,"11,737.33","11,806.06","11,548.78","11,675.74","17,489,608,833","215,490,364,255",395.31,399.74,385.83,391.12,"9,451,065,592","43,850,292,041"
8-Aug-20,"11,604.55","11,800.06","11,558.43","11,754.05","17,572,057,837","216,924,147,851",379.55,393.99,377.35,393.99,"9,342,060,531","44,166,324,646"
7-Aug-20,"11,778.89","11,898.04","11,408.59","11,601.47","23,132,312,867","214,097,928,027",395.23,398.25,367.94,379.51,"12,751,687,084","42,538,578,850"
6-Aug-20,"11,749.87","11,902.34","11,598.71","11,779.77","23,400,740,340","217,377,233,001",401.58,403.49,392.6,394.96,"11,304,626,458","44,264,836,294"
5-Aug-20,"11,203.82","11,786.62","11,158.29","11,747.02","24,411,254,471","216,761,492,406",389.71,406.3,386.22,401.59,"12,875,466,638","45,002,213,069"
4-Aug-20,"11,246.20","11,385.38","11,094.15","11,205.89","21,250,197,042","206,767,135,617",386.16,400.7,382.99,389.88,"14,086,704,221","43,684,129,572"
3-Aug-20,"11,043.77","11,453.08","11,012.41","11,246.35","20,271,713,443","207,503,423,456",371.13,396.51,369.34,386.3,"12,834,648,062","43,277,729,882"
2-Aug-20,"11,758.76","12,034.14","11,018.13","11,053.61","27,410,067,336","203,936,136,730",385.55,411.23,357.14,370.67,"18,909,744,275","41,522,323,563"
1-Aug-20,"11,322.57","11,794.78","11,239.68","11,759.59","26,075,670,303","216,950,669,098",345.8,388.85,343.59,385.2,"14,045,259,477","43,144,477,508"
31-Jul-20,"11,110.21","11,415.86","10,987.05","11,323.47","23,160,469,766","208,895,308,529",334.63,348.61,329.34,345.55,"12,030,600,492","38,699,278,449"
30-Jul-20,"11,099.83","11,169.36","10,895.46","11,111.21","22,857,247,901","204,969,047,788",318.14,338.63,315.75,334.59,"11,827,689,045","37,466,380,887"
29-Jul-20,"10,912.95","11,304.40","10,856.14","11,100.47","24,617,249,715","204,761,455,133",316.56,324.38,313.11,318.19,"10,878,845,706","35,626,126,751"
28-Jul-20,"11,017.46","11,204.33","10,632.63","10,912.82","28,766,551,142","201,290,022,193",321.83,325.91,307.72,316.66,"12,357,108,065","35,450,097,600"
27-Jul-20,"9,905.22","11,298.22","9,903.97","10,990.87","35,359,749,590","202,719,581,737",309.66,330.7,309.66,321.51,"15,644,257,058","35,989,428,749"
26-Jul-20,"9,680.23","10,023.81","9,652.85","9,905.17","20,507,998,997","182,685,328,095",303.69,316.39,300.27,309.64,"12,003,973,026","34,656,472,193"
25-Jul-20,"9,539.49","9,704.56","9,530.21","9,677.11","16,610,070,933","178,469,614,078",279.03,306.74,279.03,304.06,"10,785,021,813","34,027,002,730"
24-Jul-20,"9,585.51","9,623.34","9,481.45","9,536.89","16,552,768,325","175,875,016,548",274.72,286.19,269.24,279.22,"9,466,060,358","31,243,266,716"
23-Jul-20,"9,527.14","9,610.25","9,483.00","9,581.07","18,146,399,002","176,680,237,480",262.39,277.58,261.05,274.69,"10,281,309,262","30,733,019,165"
22-Jul-20,"9,375.08","9,530.52","9,319.65","9,525.36","16,532,254,884","175,644,844,408",245.04,262.99,242.48,262.19,"7,702,077,383","29,331,058,164"
21-Jul-20,"9,162.51","9,407.26","9,149.39","9,374.89","18,069,581,956","172,861,732,402",236.3,246.19,235.68,245.02,"6,806,696,015","27,406,496,758"
20-Jul-20,"9,187.22","9,214.27","9,137.51","9,164.23","13,755,604,146","168,970,262,859",238.49,239.58,234.85,236.15,"5,600,686,192","26,411,853,756"
19-Jul-20,"9,158.01","9,201.40","9,097.63","9,185.82","12,939,002,784","169,360,219,986",235.46,239.16,233.28,238.49,"6,251,377,305","26,669,691,075"
18-Jul-20,"9,151.18","9,230.98","9,100.82","9,159.04","12,252,601,475","168,858,972,269",232.86,236.54,232.32,235.48,"5,397,402,117","26,330,601,164"
17-Jul-20,"9,131.81","9,182.25","9,089.20","9,151.39","13,944,570,749","168,710,427,574",233.69,234.42,232.11,232.77,"5,859,850,529","26,024,301,468"
16-Jul-20,"9,191.98","9,214.31","9,088.95","9,132.23","15,713,967,523","168,350,501,976",238.45,239.01,231.62,233.64,"5,832,057,567","26,118,155,895"
15-Jul-20,"9,241.90","9,275.33","9,171.93","9,192.84","15,844,731,575","169,460,074,576",240.14,241.4,237.1,238.42,"6,189,328,448","26,649,577,378"
14-Jul-20,"9,238.70","9,283.84","9,171.66","9,243.21","18,085,038,362","170,380,670,525",239.98,242,237.8,240.21,"7,357,458,555","26,846,147,251"
13-Jul-20,"9,277.20","9,306.40","9,224.29","9,243.61","17,519,821,266","170,379,677,119",242.18,244.31,238.23,239.6,"7,787,751,468","26,775,071,858"
12-Jul-20,"9,241.06","9,319.42","9,197.45","9,276.50","14,452,361,907","170,977,422,928",239.46,243.31,237.77,242.13,"6,596,394,718","27,054,158,346"
11-Jul-20,"9,277.51","9,293.53","9,199.49","9,240.35","13,249,910,444","170,302,234,778",241.04,241.53,238.33,239.46,"5,643,067,316","26,752,161,985"
10-Jul-20,"9,273.36","9,287.47","9,118.00","9,278.81","16,860,035,605","171,001,933,827",242.87,242.88,236.73,240.98,"7,281,370,522","26,919,422,187"
9-Jul-20,"9,427.99","9,431.38","9,235.00","9,277.97","18,000,702,524","170,977,231,638",246.75,247.29,239.9,243.02,"8,429,099,199","27,143,016,879"
8-Jul-20,"9,253.02","9,450.34","9,249.50","9,428.33","19,702,359,883","173,738,543,115",239.16,248.31,238.4,246.67,"9,892,586,411","27,547,785,703"
7-Jul-20,"9,349.16","9,360.62","9,201.82","9,252.28","13,839,652,595","170,485,472,276",240.97,242.68,234.22,239.08,"6,441,497,597","26,696,376,073"
6-Jul-20,"9,072.85","9,375.47","9,058.66","9,375.47","17,889,263,252","172,746,103,840",227.69,242.13,227.03,241.51,"8,782,917,553","26,964,937,043"
5-Jul-20,"9,126.09","9,162.18","8,977.02","9,073.94","12,903,406,143","167,181,726,154",228.98,229.86,224.54,227.66,"5,292,172,429","25,415,950,649"
4-Jul-20,"9,084.23","9,183.30","9,053.63","9,132.49","12,290,528,515","168,251,076,678",225.29,230.05,225.13,229.07,"5,228,310,135","25,570,190,315"
3-Jul-20,"9,124.84","9,202.34","9,058.79","9,087.30","13,078,970,999","167,409,720,388",229.32,229.63,224.91,225.39,"5,109,032,700","25,155,571,600"
2-Jul-20,"9,231.14","9,274.96","9,036.62","9,123.41","16,338,916,796","168,065,586,387",231.29,232.4,225.46,229.39,"6,212,210,566","25,599,453,477"
1-Jul-20,"9,145.99","9,309.75","9,104.73","9,228.33","15,971,550,355","169,988,756,578",226.13,232.76,224.84,231.11,"6,463,737,443","25,788,404,350"
30-Jun-20,"9,185.58","9,217.84","9,084.84","9,137.99","15,735,797,744","168,315,606,321",227.97,229.48,224.82,226.31,"6,094,093,001","25,249,913,730"
29-Jun-20,"9,140.03","9,237.57","9,041.88","9,190.85","16,460,547,078","169,280,659,246",225.36,229.9,222.25,228.19,"6,726,164,653","25,456,513,994"
28-Jun-20,"9,048.46","9,197.55","8,975.53","9,143.58","14,560,870,760","168,401,806,137",222.91,228.6,219.47,225.35,"6,205,925,718","25,135,786,986"
27-Jun-20,"9,167.82","9,207.81","8,998.22","9,045.39","17,273,093,144","166,584,831,506",229.63,232.49,220.56,222.96,"6,918,380,955","24,866,429,445"
26-Jun-20,"9,260.99","9,310.52","9,101.74","9,162.92","18,341,465,837","168,741,367,622",232.88,233.9,229.26,229.67,"7,187,490,226","25,611,500,297"
